form,lemma,subgroup
the,the,ambiguous
leading,lead,changed
coarse,coarse,rare
company,company,easy
the,the,ambiguous
you,you,ambiguous
HPL,HPL,ambiguous
him,he,irregular
and,and,easy
Toiba,Toiba,rare
you,you,ambiguous
200,200,easy
you,you,ambiguous
from,from,easy
the,the,ambiguous
guys,guy,ambiguous
phones,phone,changed
you,you,ambiguous
Sprecher,Sprecher,rare
talented,talented,rare
",",",",irregular
),),irregular
revised,revise,changed
Newsgroups,newsgroup,changed
worst,bad,irregular
think,think,easy
ideas,idea,changed
simplz,simply,changed
battery,battery,rare
the,the,ambiguous
not,not,easy
lawnmower,lawnmower,rare
Everyone,everyone,easy
pay,pay,easy
hunting,hunting,ambiguous
US,US,irregular
which,which,easy
a,a,irregular
Family,Family,easy
he,he,irregular
to,to,irregular
-,-,irregular
talked,talk,changed
ppl,people,irregular
to,to,irregular
had,have,irregular
the,the,ambiguous
you,you,ambiguous
go,go,irregular
working,work,ambiguous
guys,guy,ambiguous
emphemeral,emphemeral,rare
any,any,ambiguous
.,.,irregular
including,include,changed
cichlids,cichlid,changed
he,he,irregular
to,to,irregular
you,you,ambiguous
The,the,easy
Hidden,Hidden,ambiguous
about,about,easy
with,with,easy
training,train,ambiguous
bluegrass,bluegrass,rare
revise,revise,easy
government,government,easy
blowing,blow,changed
visit,visit,easy
the,the,ambiguous
he,he,irregular
saving,saving,rare
Two,two,ambiguous
the,the,ambiguous
Yup,yup,rare
deals,deal,changed
to,to,irregular
.,.,irregular
.,.,irregular
servers,server,changed
744,744,rare
satisfied,satisfied,rare
Farrell,Farrell,easy
'74,'74,rare
is,be,irregular
did,do,irregular
",",",",irregular
-,-,irregular
confused,confused,easy
sleep,sleep,easy
the,the,ambiguous
al,al,irregular
by,by,irregular
every,every,ambiguous
experience,experience,easy
MSM,MSM,easy
11:58,11:58,rare
film,film,rare
acts,act,changed
I,I,irregular
burger,burger,ambiguous
are,be,irregular
ago,ago,easy
the,the,ambiguous
stars,star,changed
them,they,ambiguous
Detroit,Detroit,rare
pretty,pretty,easy
the,the,ambiguous
my,my,irregular
frame,frame,rare
announced,announce,changed
",",",",irregular
details,detail,changed
wanted,want,changed
up,up,irregular
Confidentiality,confidentiality,rare
legs,leg,changed
the,the,ambiguous
the,the,ambiguous
but,but,easy
bodybuilding,bodybuilding,rare
the,the,ambiguous
chopstick,chopstick,rare
timely,timely,rare
ounces,ounce,changed
Enron,Enron,easy
component,component,rare
finished,finish,ambiguous
years,year,changed
greasy,greasy,rare
said,say,irregular
ink,ink,rare
I,I,irregular
makes,make,changed
vegetables,vegetable,changed
Joe,Joe,rare
lesson,lesson,rare
extended,extended,rare
here,here,easy
.,.,irregular
Arriving,arrive,rare
TEACHING,teaching,rare
Blanche,Blanche,rare
the,the,ambiguous
results,result,changed
contemplating,contemplate,rare
"""","""",irregular
guy,guy,easy
(,(,irregular
slower,slow,changed
",",",",irregular
the,the,ambiguous
somewhat,somewhat,rare
trained,train,changed
links,link,changed
out,out,ambiguous
in,in,irregular
the,the,ambiguous
",",",",irregular
you,you,ambiguous
bathroom,bathroom,rare
when,when,easy
address,address,easy
must,must,easy
darlington,darlington,rare
governments,government,changed
keeping,keep,changed
mates,mate,rare
Mike,Mike,easy
-,-,irregular
the,the,ambiguous
gifts,gift,changed
PERFORMANCE,performance,easy
.,.,irregular
allies,ally,changed
cory,cory,rare
anyone,anyone,easy
talks,talk,changed
ground,ground,rare
the,the,ambiguous
like,like,easy
years,year,changed
matters,matter,changed
.,.,irregular
getting,get,changed
hands,hand,changed
Fourth,Fourth,rare
TX,TX,irregular
for,for,easy
.,.,irregular
ruth.penyc...@bbc.co.uk,ruth.penyc...@bbc.co.uk,rare
you,you,ambiguous
you,you,ambiguous
elections,election,changed
wash,wash,easy
foiled,foil,changed
blowing,blow,changed
Clinton,Clinton,easy
you,you,ambiguous
This,this,easy
bullshit,bullshit,rare
and,and,easy
the,the,ambiguous
rat,rat,rare
you,you,ambiguous
videos,video,changed
Lincoln,Lincoln,rare
to,to,irregular
2/14/2005,2/14/2005,rare
Administrator,administrator,rare
visiting,visit,changed
Friday,Friday,easy
by,by,irregular
koreans,Korean,changed
i,I,irregular
together,together,easy
photographers,photographer,changed
compliments,compliment,rare
can,can,easy
soyega,soyega,rare
provided,provide,changed
the,the,ambiguous
Wii,Wii,rare
and,and,easy
asked,ask,changed
me,I,irregular
?,?,irregular
the,the,ambiguous
you,you,ambiguous
just,just,easy
leaders,leader,changed
filed,file,changed
resources,resource,changed
out,out,ambiguous
have,have,easy
give,give,easy
-,-,irregular
pledged,pledge,changed
