form,lemma,subgroup
the,the,ambiguous
its,its,easy
the,the,ambiguous
.,.,irregular
i,I,irregular
Hidden,Hidden,ambiguous
the,the,ambiguous
.,.,irregular
for,for,easy
visiting,visit,changed
company,company,easy
to,to,irregular
links,link,changed
Laden,Laden,easy
the,the,ambiguous
the,the,ambiguous
things,thing,changed
revise,revise,easy
HPL,HPL,ambiguous
details,detail,changed
compounding,compound,changed
restaurants,restaurant,changed
PRMA,prma,rare
you,you,ambiguous
Air,Air,easy
goals,goal,changed
days,day,changed
Jordan,Jordan,rare
.,.,irregular
the,the,ambiguous
making,make,changed
the,the,ambiguous
trained,train,changed
of,of,irregular
here,here,easy
you,you,ambiguous
revised,revise,changed
PSE,pse,easy
Yup,yup,rare
What,what,easy
you,you,ambiguous
Kennedy,Kennedy,easy
provides,provide,changed
of,of,irregular
Everyone,everyone,easy
someone,someone,easy
like,like,easy
wash,wash,easy
hands,hand,changed
government,government,easy
violent,violent,easy
to,to,irregular
I,I,irregular
Newsgroups,newsgroup,changed
31,31,irregular
but,but,easy
he,he,irregular
pretty,pretty,easy
'74,'74,rare
toolbar,toolbar,easy
gifts,gift,changed
expressed,express,rare
the,the,ambiguous
places,place,changed
today,today,easy
just,just,easy
filed,file,changed
Family,Family,easy
somewhat,somewhat,rare
them,they,ambiguous
Hidden,Hidden,ambiguous
guys,guy,ambiguous
participants,participant,rare
Sheer,sheer,rare
the,the,ambiguous
the,the,ambiguous
Sundays,Sunday,rare
stocking,stocking,easy
simplz,simply,changed
deleted,delete,changed
did,do,irregular
with,with,easy
helped,help,changed
..,..,irregular
the,the,ambiguous
operation,operation,easy
.,.,irregular
keeping,keep,changed
you,you,ambiguous
Lyme,Lyme,rare
there,there,ambiguous
morphed,morph,changed
you,you,ambiguous
the,the,ambiguous
vegetables,vegetable,changed
there,there,ambiguous
that,that,easy
Waheed,Waheed,easy
cichlids,cichlid,changed
confused,confused,easy
Equistar,Equistar,rare
switched,switch,changed
Farrell,Farrell,easy
you,you,ambiguous
you,you,ambiguous
visit,visit,easy
the,the,ambiguous
dreams,dream,rare
you,you,ambiguous
to,to,irregular
he,he,irregular
pledged,pledge,changed
hunting,hunting,ambiguous
The,the,easy
allied,ally,changed
relations,relation,rare
chopstick,chopstick,rare
battery,battery,rare
to,to,irregular
think,think,easy
Detroit,Detroit,rare
.?,.?,irregular
the,the,ambiguous
),),irregular
device,device,rare
film,film,rare
reviews,review,changed
soyega,soyega,rare
",",",",irregular
you,you,ambiguous
ago,ago,easy
he,he,irregular
talked,talk,changed
fab,fab,rare
.,.,irregular
200,200,easy
I,I,irregular
pay,pay,easy
not,not,easy
0102,0102,rare
And,and,easy
Administrator,administrator,rare
matters,matter,changed
two,two,easy
bluegrass,bluegrass,rare
Usenet,usenet,rare
and,and,easy
darlington,darlington,rare
imagine,imagine,rare
leading,lead,changed
and,and,easy
-,-,irregular
from,from,easy
MSM,MSM,easy
attached,attach,changed
you,you,ambiguous
Thank,thank,easy
Lincoln,Lincoln,rare
wanted,want,changed
ticket,ticket,easy
by,by,irregular
the,the,ambiguous
years,year,changed
guy,guy,easy
makes,make,changed
feathers,feather,changed
anyone,anyone,easy
which,which,easy
talks,talk,changed
by,by,irregular
experience,experience,easy
I,I,irregular
calling,call,changed
",",",",irregular
"""","""",irregular
if,if,irregular
One,one,ambiguous
21,21,irregular
worst,bad,irregular
Great,great,ambiguous
Will,will,ambiguous
.,.,irregular
allies,ally,changed
ebook,ebook,rare
divided,divide,changed
al,al,irregular
there,there,ambiguous
for,for,easy
sympathise,sympathise,rare
45's,45,irregular
outsize,outside,changed
the,the,ambiguous
leaders,leader,changed
Blvd.,Blvd.,rare
are,be,irregular
ink,ink,rare
in,in,irregular
reality,reality,easy
said,say,irregular
there,there,ambiguous
talking,talk,changed
place,place,easy
talented,talented,rare
.,.,irregular
/,/,irregular
no,no,irregular
Sprecher,Sprecher,rare
respect,respect,easy
voted,vote,changed
the,the,ambiguous
mates,mate,rare
is,be,irregular
you,your,ambiguous
brown,brown,rare
Toiba,Toiba,rare
the,the,ambiguous
there,there,ambiguous
Courteous,courteous,rare
the,the,ambiguous
satisfied,satisfied,rare
recording,record,ambiguous
Transportation,Transportation,rare
for,for,easy
are,be,irregular
up,up,irregular
the,the,ambiguous
lawnmower,lawnmower,rare
photographers,photographer,changed
convince,convince,rare
about,about,easy
I,I,irregular
Secretary,Secretary,easy
friends,friend,changed
with,with,easy
out,out,ambiguous
you,you,ambiguous
you,you,ambiguous
",",",",irregular
me,I,irregular
my,my,irregular
them,they,ambiguous
of,of,irregular
phones,phone,changed
sleep,sleep,easy
you,you,ambiguous
had,have,irregular
none,none,easy
Enron,Enron,easy
the,the,ambiguous
a,a,irregular
words,word,changed
guesthouse,guesthouse,rare
animations,animation,changed
